"lp";"kod";"obszar";"iteracja";"nazwa_przeplywu";"typ";"profil";"target_end_time";"critical_end_time";"wersja";"opis_pliku";"sciezka_pliku";"zrodlo";"kontakt";"popup_html";"uwagi";"confluence_storage"
"42";"FID2-882";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"Initial Intraday ATCs";"882";"MIN";"20:30";"20:50";"1";"Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-882 — Initial Intraday ATCs (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial Intraday ATCs (FID2-882) — początkowe wartości ATC dla intraday; wejście walidacji ATC. Składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:30 &nbsp; <strong>CET:</strong> 20:50 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"43";"FID2-710_ATC";"IDCC(b) - Walidacja domeny ATC";"IDCC(b)";"IVA_ATC";"710_ATC";"MIN";"21:40";"22:05";"1";"IVA_ATC (FID2-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.";"Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-710_ATC — IVA_ATC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA_ATC (FID2-710_ATC) — IVA dla odrębnej ścieżki walidacji domeny ATC.</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 21:40 &nbsp; <strong>CET:</strong> 22:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"44";"FID2-831";"IDCC(b) - Allocation Constraints";"IDCC(b)";"AC";"831";"2CCT";"21:45";"21:55";"1";"AC (Allocation Constraints, FID2-831) — plik z wartościami ograniczeń alokacyjnych wyznaczonych przez PSE, publikowany do PuTo i do procesu Core. Format XML, MTU 15 min.";"ZP [N06] → Connector 2.0 [N05] → Core CC Tool [N02] → PuTo [N10] + MinIO [N04]";"ZP (N06)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-831_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-831 — AC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AC (Allocation Constraints, FID2-831) — plik z wartościami ograniczeń alokacyjnych wyznaczonych przez PSE, publikowany do PuTo i do procesu Core. Format XML, MTU 15 min.</p><p><strong>Ścieżka pliku:</strong> ZP [N06] → Connector 2.0 [N05] → Core CC Tool [N02] → PuTo [N10] + MinIO [N04]</p><p><strong>Źródło:</strong> ZP (N06) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 21:45 &nbsp; <strong>CET:</strong> 21:55 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"45";"FID2-921";"IDCC(b) - Finalne wyniki NTC z procesu IDCC";"IDCC(b)";"Final Intraday NTC";"921";"SFTP";"21:45";"21:49";"1";"Final Intraday NTC (FID2-921) — finalne wyniki NTC (Net Transfer Capacity) z procesu IDCC; zdolności przesyłowe udostępniane na rynek intraday (XBID).";"proces Core / Kreator → sFTP [N12] / ZP";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-921 — Final Intraday NTC (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Final Intraday NTC (FID2-921) — finalne wyniki NTC (Net Transfer Capacity) z procesu IDCC; zdolności przesyłowe udostępniane na rynek intraday (XBID).</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → sFTP [N12] / ZP</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 21:45 &nbsp; <strong>CET:</strong> 21:49 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"46";"FID3C-607";"IDCC(c) - Dane wejściowe Initial TSO receiving";"IDCC(c)";"GLSK";"607";"2CCT";"00:00";"00:56";"3";"GLSK (Generation and Load Shift Keys, FID3C-607) — klucze rozdziału zmian generacji/obciążenia dla strefy PL; dane wejściowe Initial TSO receiving.";"KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]";"Kreator (N07/N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID3C-607_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-607 — GLSK (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> GLSK (Generation and Load Shift Keys, FID3C-607) — klucze rozdziału zmian generacji/obciążenia dla strefy PL; dane wejściowe Initial TSO receiving.</p><p><strong>Ścieżka pliku:</strong> KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator (N07/N08) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 00:00 &nbsp; <strong>CET:</strong> 00:56 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"47";"FID3C-617";"IDCC(c) - Dane wejściowe Initial TSO receiving";"IDCC(c)";"CBCORA";"617";"2CCT";"00:00";"00:56";"3";"CBCORA (Critical Branches & Critical Outages with Remedial Actions, FID3C-617) — lista krytycznych elementów sieci (CNEC) PSE wraz z wyłączeniami; dane wejściowe TSO.";"KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]";"Kreator (N07/N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID3C-617_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-617 — CBCORA (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CBCORA (Critical Branches &amp; Critical Outages with Remedial Actions, FID3C-617) — lista krytycznych elementów sieci (CNEC) PSE wraz z wyłączeniami; dane wejściowe TSO.</p><p><strong>Ścieżka pliku:</strong> KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator (N07/N08) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 00:00 &nbsp; <strong>CET:</strong> 00:56 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"48";"PERUN_ID3C";"IDCC(c) - Individual Validation";"IDCC(c)";"AGR Paczka ZIP ID3C do Perun";"PERUN";"2MS";"03:00";"03:30";"1";"AGR Paczka ZIP (PERUN_ID3C) — zagregowana paczka wejściowa do Perun4V (proces FBA); zawiera składowe: scalone GLSK, CGM, RefProg, początkową domenę FB, CB, wierzchołki, RA.";"Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]";"agregacja";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">PERUN_ID3C — AGR Paczka ZIP ID3C do Perun (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AGR Paczka ZIP (PERUN_ID3C) — zagregowana paczka wejściowa do Perun4V (proces FBA); zawiera składowe: scalone GLSK, CGM, RefProg, początkową domenę FB, CB, wierzchołki, RA.</p><p><strong>Ścieżka pliku:</strong> Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]</p><p><strong>Źródło:</strong> agregacja &nbsp;|&nbsp; <strong>Profil:</strong> 2MS &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"49";"FID3C-610";"IDCC(c) - Individual Validation";"IDCC(c)";"Merged Generation and Load Shift Keys (GLSK)";"610";"MIN";"02:40";"03:30";"1";"Merged GLSK (FID3C-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-610 — Merged Generation and Load Shift Keys (GLSK) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged GLSK (FID3C-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"50";"FID3C-620";"IDCC(c) - Individual Validation";"IDCC(c)";"Merged DACF/IDCF Common Grid Model (CGM)";"620";"MIN";"02:40";"03:30";"4";"Merged DACF/IDCF Common Grid Model (CGM, FID3C-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core / Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-620 — Merged DACF/IDCF Common Grid Model (CGM) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged DACF/IDCF Common Grid Model (CGM, FID3C-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core / Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 4</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"51";"FID3C-632";"IDCC(c) - Individual Validation";"IDCC(c)";"Reference Program (RefProg)";"632";"MIN";"02:40";"03:30";"3";"Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-632 — Reference Program (RefProg) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"52";"FID3C-645";"IDCC(c) - Individual Validation";"IDCC(c)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"03:00";"03:30";"1";"Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"53";"FID3C-657";"IDCC(c) - Individual Validation";"IDCC(c)";"Real Generation and Load Shift Keys (GLSK)";"657";"MIN";"03:00";"03:30";"1";"Real GLSK (FID3C-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-657 — Real Generation and Load Shift Keys (GLSK) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Real GLSK (FID3C-657) — rzeczywiste klucze GLSK (po dostosowaniu do bieżącego stanu). Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"54";"FID3C-659";"IDCC(c) - Individual Validation";"IDCC(c)";"CGM Data Quality Check";"659";"MIN";"03:00";"03:30";"1";"CGM Data Quality Check (FID3C-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-659 — CGM Data Quality Check (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CGM Data Quality Check (FID3C-659) — raport kontroli jakości danych scalonego modelu CGM. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"55";"FID3C-665";"IDCC(c) - Individual Validation";"IDCC(c)";"Individual Filtered Critical Branches (CB)";"665";"MIN";"03:00";"03:30";"1";"Individual Filtered Critical Branches (CB, FID3C-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-665 — Individual Filtered Critical Branches (CB) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Individual Filtered Critical Branches (CB, FID3C-665) — indywidualne, przefiltrowane gałęzie krytyczne PSE. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"56";"FID3C-701";"IDCC(c) - Individual Validation";"IDCC(c)";"Vertices of Initial FB Domain";"701";"MIN";"03:00";"03:30";"1";"Vertices of Initial FB Domain (FID3C-701) — wierzchołki początkowej domeny Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-701 — Vertices of Initial FB Domain (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Vertices of Initial FB Domain (FID3C-701) — wierzchołki początkowej domeny Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"57";"XID3C_RA";"IDCC(c) - Individual Validation";"IDCC(c)";"Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES";"RA";"MIN";"03:00";"03:30";"3";"Plik ze środkami zaradczymi (RA, XID3C_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"KreatorIDCF (N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">XID3C_RA — Plik ze środkami zaradczymi z aplikacji KreatorDACF_CGMES (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Plik ze środkami zaradczymi (RA, XID3C_RA) — remedial actions wygenerowane w Kreatorze; publikowane razem z GLSK/CBCORA i jako składowa paczki.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> KreatorIDCF (N08) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"58";"FID3C-710";"IDCC(c) - Individual Validation";"IDCC(c)";"IVA";"710";"3COL";"04:00";"04:36";"1";"IVA — Individual Validation Adjustment (FID3C-710) — wynik indywidualnej walidacji domeny Flow-Based (z Perun4V); korekta domeny po walidacji TSO.";"Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]";"Perun4V (N03)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-710 — IVA (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA — Individual Validation Adjustment (FID3C-710) — wynik indywidualnej walidacji domeny Flow-Based (z Perun4V); korekta domeny po walidacji TSO.</p><p><strong>Ścieżka pliku:</strong> Perun4V [N03] → MinIO [N04] / Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Perun4V (N03) &nbsp;|&nbsp; <strong>Profil:</strong> 3COL &nbsp;|&nbsp; <strong>TET:</strong> 04:00 &nbsp; <strong>CET:</strong> 04:36 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"59";"FID3C-710";"IDCC(c) - Individual Validation";"IDCC(c)";"IVA Backup";"710_BCK";"MIN";"04:00";"04:36";"1";"IVA Backup (FID3C-710) — backupowa wersja IVA generowana przez CCA (publikowana do cca/…/out/), na wypadek braku/niezgodności IVA podstawowego.";"CCA [N09] → MinIO cca/…/out/ [N04] → CCM [N01]";"CCA (N09)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-710 — IVA Backup (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> IVA Backup (FID3C-710) — backupowa wersja IVA generowana przez CCA (publikowana do cca/…/out/), na wypadek braku/niezgodności IVA podstawowego.</p><p><strong>Ścieżka pliku:</strong> CCA [N09] → MinIO cca/…/out/ [N04] → CCM [N01]</p><p><strong>Źródło:</strong> CCA (N09) &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 04:00 &nbsp; <strong>CET:</strong> 04:36 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"60";"FID3C-632";"IDCC(c) - Individual Validation";"IDCC(c)";"Reference Program (RefProg)";"632";"MIN";"02:40";"03:30";"3";"Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-632 — Reference Program (RefProg) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Reference Program (RefProg, FID3C-632) — program referencyjny: planowane salda wymiany międzyobszarowej. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 02:40 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 3</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"61";"FID3C-645";"IDCC(c) - Individual Validation";"IDCC(c)";"Initial FB Domain (Virgin RefProg Bal)";"645";"MIN";"03:00";"03:30";"1";"Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"Perun4V / proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID3C-645 — Initial FB Domain (Virgin RefProg Bal) (IDCC(c))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Initial FB Domain (Virgin / RefProg Bal, FID3C-645) — początkowa domena Flow-Based. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> Perun4V / proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 03:00 &nbsp; <strong>CET:</strong> 03:30 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
